step,time,control,f1_palm,f2_palm,f1_tip,f2_tip,t1_length,t2_length,palm_diff,tip_diff,tendon_diff,contacts
910,0.91,1.0,-94.23853753917072,-93.33832572906392,-2.086023568405514e-07,-1.9813560234702133e-05,0.16296555117035777,0.16294798967078106,0.9002118101067964,1.960495787786158e-05,1.7561499576712603e-05,0
920,0.92,1.0,-94.23853734690704,-93.33832550018155,-1.760122991841243e-07,-1.7666403798124396e-05,0.16296555116678252,0.16294798966600135,0.9002118467254832,1.749039149894027e-05,1.7561500781165806e-05,0
930,0.93,1.0,-94.2385371761122,-93.33832529659688,-1.4865305798941632e-07,-1.5752193862972514e-05,0.1629655511636066,0.16294798966175003,0.9002118795153251,1.5603540804983098e-05,1.7561501856555584e-05,0
940,0.9400000000000001,1.0,-94.2385370243604,-93.33832511549137,-1.256884119517893e-07,-1.4045657545036722e-05,0.16296555116078482,0.16294798965796814,0.900211908869025,1.3919969133084933e-05,1.7561502816676455e-05,0
950,0.9500000000000001,1.0,-94.23853688950422,-93.338324954364,-1.0641544308601811e-07,-1.2524263939975328e-05,0.1629655511582772,0.16294798965460347,0.90021193514022,1.241784849688931e-05,1.7561503673740875e-05,0
960,0.96,1.0,-94.2385367696422,-93.338324810995,-9.024336690773437e-08,-1.1167926590598435e-05,0.1629655511560485,0.16294798965160961,0.9002119586471906,1.10776832236907e-05,1.7561504438878828e-05,0
970,0.97,1.0,-94.23853666308985,-93.33832468341384,-7.667564732910502e-08,-9.958738304828864e-06,0.16296555115406727,0.16294798964894552,0.9002119796760013,9.88206265749976e-06,1.7561505121749255e-05,0
980,0.98,1.0,-94.23853656835465,-93.33832456987071,-6.529500480621271e-08,-8.88073470693491e-06,0.16296555115230582,0.16294798964657456,0.9002119984839396,8.815439702128697e-06,1.7561505731261695e-05,0
990,0.99,1.0,-94.23853648411385,-93.3383244688113,-5.5750783354947186e-08,-7.91968344143215e-06,0.1629655511507395,0.16294798964446436,0.9002120153025572,7.863932658077204e-06,1.75615062751322e-05,0
1000,1.0,1.0,-94.23853640919467,-93.33832437885485,-4.774835947940076e-08,-7.062896240773999e-06,0.16296555114934658,0.16294798964258592,0.9002120303398158,7.015147881294598e-06,1.7561506760660484e-05,0
1010,1.01,1.0,-94.23853634255676,-93.33832429877496,-4.104018577353442e-08,-6.299061433881306e-06,0.16296555114810754,0.16294798964091378,0.9002120437817922,6.2580212481077714e-06,1.7561507193758485e-05,0
1020,1.02,1.0,-94.23853628327734,-93.33832422748155,-3.5418309052996286e-08,-5.618094575945849e-06,0.16296555114700542,0.1629479896394251,0.9002120557957909,5.582676266892852e-06,1.7561507580310387e-05,0
1030,1.03,1.0,-94.2385362305376,-93.33832416400577,-3.0708027110888966e-08,-5.011005303894083e-06,0.16296555114602482,0.16294798963809967,0.9002120665318358,4.980297276783194e-06,1.756150792514566e-05,0
1040,1.04,1.0,-94.23853618361099,-93.33832410748617,-2.6762614190953995e-08,-4.469778632672947e-06,0.16296555114515238,0.16294798963691953,0.9002120761248165,4.443016018481993e-06,1.756150823284397e-05,0
1050,1.05,1.0,-94.23853614185236,-93.33832405715701,-2.345884773356291e-08,-3.98726912121691e-06,0.16296555114437603,0.16294798963586865,0.9002120846953545,3.963810273483347e-06,1.7561508507374368e-05,0
1060,1.06,1.0,-94.23853610468885,-93.33832401233732,-2.069325296988536e-08,-3.557106561348852e-06,0.16296555114368508,0.1629479896349328,0.9002120923515236,3.5364133083789665e-06,1.7561508752289567e-05,0
1070,1.07,1.0,-94.23853607161175,-93.33832397242152,-1.8378938104765375e-08,-3.173611851593726e-06,0.1629655511430701,0.16294798963409932,0.9002120991902274,3.1552329134889605e-06,1.756150897078146e-05,0
1080,1.08,1.0,-94.238536042169,-93.33832393687109,-1.6442983131685785e-08,-2.8317220051072107e-06,0.1629655511425227,0.162947989633357,0.9002121052979106,2.815279021975525e-06,1.7561509165708866e-05,0
1090,1.09,1.0,-94.23853601595884,-93.3383239052071,-1.4824151860076827e-08,-2.526923338140765e-06,0.16296555114203543,0.16294798963269586,0.9002121107517382,2.5120991862806884e-06,1.7561509339569792e-05,0
1100,1.1,1.0,-94.2385359926246,-93.33832387700309,-1.3471054976774535e-08,-2.2551918673461886e-06,0.16296555114160163,0.16294798963210697,0.9002121156215139,2.241720812369414e-06,1.756150949466795e-05,0
1110,1.11,1.0,-94.23853597184916,-93.33832385187975,-1.234058248079033e-08,-2.012940145201411e-06,0.1629655511412154,0.1629479896315824,0.9002121199694102,2.0005995627206208e-06,1.7561509632973982e-05,0
1120,1.12,1.0,-94.23853595335055,-93.3383238294996,-1.1396565237793966e-08,-1.796969941934357e-06,0.1629655511408715,0.16294798963111512,0.9002121238509488,1.785573376696563e-06,1.756150975637527e-05,0
1130,1.1300000000000001,1.0,-94.23853593687808,-93.33832380956227,-1.0608654211895097e-08,-1.604430008529232e-06,0.16296555114056527,0.16294798963069884,0.900212127315811,1.593821354317337e-06,1.7561509866426128e-05,0
1140,1.1400000000000001,1.0,-94.23853592220892,-93.33832379180038,-9.951397828864883e-09,-1.432778423210647e-06,0.16296555114029254,0.16294798963032803,0.9002121304085478,1.4228270253817822e-06,1.7561509964514332e-05,0
1150,1.1500000000000001,1.0,-94.23853590914491,-93.33832377597587,-9.403466051666346e-09,-1.279749017301911e-06,0.16296555114004968,0.16294798962999754,0.9002121331690489,1.2703455512502446e-06,1.7561510052138685e-05,0
1160,1.16,1.0,-94.23853589750982,-93.33832376187678,-8.94695667520885e-09,-1.1433215185098635e-06,0.16296555113983335,0.1629479896297032,0.9002121356330406,1.1343745618346547e-06,1.7561510130159608e-05,0
1170,1.17,1.0,-94.23853588714692,-93.33832374931441,-8.566900942335266e-09,-1.0216947840304869e-06,0.1629655511396407,0.1629479896294409,0.9002121378325114,1.0131278830881517e-06,1.7561510199798347e-05,0
1180,1.18,1.0,-94.23853587791642,-93.33832373812118,-8.250728553053828e-09,-9.132631066511787e-07,0.16296555113946912,0.1629479896292072,0.9002121397952436,9.050123780981249e-07,1.7561510261915325e-05,0
1190,1.19,1.0,-94.23853586969403,-93.33832372814769,-7.98792498078606e-09,-8.165949660932918e-07,0.1629655511393163,0.16294798962899895,0.9002121415463478,8.086070411125058e-07,1.756151031734321e-05,0
1200,1.2,1.0,-94.2385358623693,-93.33832371926076,-7.769662289487839e-09,-7.30414174632669e-07,0.1629655511391801,0.1629479896288134,0.900212143108547,7.226445123431812e-07,1.7561510366692623e-05,0
1210,1.21,1.0,-94.23853585584409,-93.33832371134166,-7.588576198271684e-09,-6.535829645659888e-07,0.1629655511390588,0.16294798962864804,0.9002121445024329,6.459943883677171e-07,1.7561510410768477e-05,0
1220,1.22,1.0,-94.23853585003084,-93.33832370428483,-7.438486865369365e-09,-5.85087020349497e-07,0.16296555113895075,0.1629479896285007,0.9002121457460106,5.776485334841276e-07,1.7561510450042617e-05,0
1230,1.23,1.0,-94.23853584485177,-93.33832369799615,-7.314235501617248e-09,-5.240220637240329e-07,0.16296555113885444,0.16294798962836943,0.9002121468556226,5.167078282224157e-07,1.7561510485014642e-05,0
1240,1.24,1.0,-94.23853584023762,-93.33832369239177,-7.211506684893979e-09,-4.6958191425083484e-07,0.16296555113876868,0.1629479896282524,0.9002121478458491,4.6237040756594085e-07,1.756151051626742e-05,0
1250,1.25,1.0,-94.23853583612649,-93.3383236873972,-7.126689804663198e-09,-4.210478586614298e-07,0.16296555113869227,0.16294798962814813,0.9002121487292811,4.139211688567666e-07,1.7561510544134018e-05,0
1260,1.26,1.0,-94.23853583246346,-93.33832368294603,-7.056768591315588e-09,-3.777791572662796e-07,0.16296555113862415,0.1629479896280552,0.9002121495174293,3.70722388674964e-07,1.7561510568947503e-05,0
1270,1.27,1.0,-94.23853582919938,-93.33832367897926,-6.9992267444489065e-09,-3.3920458214370096e-07,0.16296555113856348,0.1629479896279724,0.9002121502201135,3.3220535539925207e-07,1.7561510591068696e-05,0
1280,1.28,1.0,-94.2385358262907,-93.33832367544412,-6.951959638215154e-09,-3.048148743028343e-07,0.1629655511385094,0.16294798962789858,0.9002121508465848,2.9786291466461914e-07,1.7561510610830666e-05,0
